state_name,year,ai_jobs_count,percent,all_jobs_state_year,state_ai_share_within_state
Colorado,2023,33,3.5869565217391304,991,0.033299697275479316
Connecticut,2010,3,2.0134228187919465,208,0.014423076923076924
Connecticut,2011,0,0,227,0
Connecticut,2012,2,1.0204081632653061,228,0.008771929824561403
Connecticut,2013,4,1.4388489208633093,326,0.012269938650306749
Connecticut,2014,5,1.3192612137203166,318,0.015723270440251572
Connecticut,2015,5,1.1494252873563218,304,0.01644736842105263
Connecticut,2016,9,1.875,386,0.023316062176165803
Connecticut,2017,6,1.0380622837370241,354,0.01694915254237288
Connecticut,2018,11,1.2629161882893227,390,0.028205128205128206
Connecticut,2019,8,0.8968609865470852,326,0.024539877300613498
Connecticut,2020,9,1.0368663594470047,384,0.0234375
Connecticut,2021,20,1.8399264029438822,569,0.0351493848857645
Connecticut,2022,15,1.1144130757800892,511,0.029354207436399216
Connecticut,2023,14,1.5217391304347827,499,0.028056112224448898
Delaware,2010,1,0.6711409395973155,67,0.014925373134328358
Delaware,2011,2,1.2658227848101267,67,0.029850746268656716
Delaware,2012,2,1.0204081632653061,77,0.025974025974025976
Delaware,2013,3,1.079136690647482,88,0.03409090909090909
Delaware,2014,2,0.5277044854881267,113,0.017699115044247787
Delaware,2015,2,0.45977011494252873,99,0.020202020202020204
Delaware,2016,5,1.0416666666666667,106,0.04716981132075472
Delaware,2017,4,0.6920415224913494,114,0.03508771929824561
Delaware,2018,4,0.4592422502870264,96,0.041666666666666664
Delaware,2019,2,0.2242152466367713,70,0.02857142857142857
Delaware,2020,4,0.4608294930875576,107,0.037383177570093455
Delaware,2021,6,0.5519779208831647,143,0.04195804195804196
Delaware,2022,3,0.22288261515601784,151,0.019867549668874173
Delaware,2023,8,0.8695652173913043,111,0.07207207207207207
Florida,2010,4,2.684563758389262,560,0.007142857142857143
Florida,2011,8,5.063291139240507,703,0.011379800853485065
Florida,2012,8,4.081632653061225,625,0.0128
Florida,2013,4,1.4388489208633093,982,0.004073319755600814
Florida,2014,8,2.1108179419525066,1111,0.0072007200720072
Florida,2015,20,4.597701149425287,1277,0.015661707126076743
Florida,2016,25,5.208333333333333,1295,0.019305019305019305
Florida,2017,29,5.017301038062284,1244,0.023311897106109324
Florida,2018,25,2.8702640642939152,1689,0.014801657785671996
Florida,2019,32,3.587443946188341,1921,0.01665799062988027
Florida,2020,34,3.9170506912442398,2083,0.01632261161785886
Florida,2021,39,3.5878564857405704,2803,0.013913663931501962
Florida,2022,53,3.9375928677563152,3289,0.016114320462146548
Florida,2023,32,3.4782608695652173,2523,0.012683313515655966
Georgia,2010,2,1.342281879194631,326,0.006134969325153374
Georgia,2011,8,5.063291139240507,537,0.0148975791433892
Georgia,2012,6,3.061224489795918,539,0.011131725417439703
Georgia,2013,4,1.4388489208633093,650,0.006153846153846154
Georgia,2014,12,3.1662269129287597,709,0.01692524682651622
